Title;Issn;SJR Best Quartile
American Journal of Obstetrics and Gynecology;00029378, 10976868;Q1
American Journal of Obstetrics and Gynecology MFM;25899333;Q1
Obstetrics and Gynecology;00297844, 1873233X;Q1
BJOG: An International Journal of Obstetrics and Gynaecology;14700328, 14710528;Q1
Ultrasound in Obstetrics and Gynecology;09607692, 14690705;Q1
Prenatal Diagnosis;01973851, 10970223;Q1
Fetal Diagnosis and Therapy;10153837, 14219964;Q2
Radiology;00338419, 15271315;Q1
Radiology: Artificial Intelligence;26386100;Q1
The Lancet Digital Health;25897500;Q1
npj Digital Medicine;23986352;Q1
Journal of the American Medical Informatics Association;10675027, 1527974X;Q1
